Year    Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec     Total   
2000	2.17	1.80	0.80	0.76	1.62	0.36	0.42	2.00	1.86	2.00	1.31	1.24	16.34
2001	0.78	1.50	1.55	2.46	0.22	1.12	1.13	0.53	0.05	0.92	3.34	1.44	15.04
2002	1.19	0.30	2.47	2.49	0.48	0.18	0.14	0.03	1.12	0.71	0.64	0.54	10.29
2003	0.64	1.06	1.39	1.65	1.67	0.88	0.33	0.67	1.59	0.16	1.94	3.97	15.95
2004	0.46	2.25	0.88	2.38	0.95	1.70	0.34	0.19	0.50	3.48	1.24	0.52	14.89
2005	1.44	1.23	2.44	3.15	2.88	1.64	0.01	0.72	0.40	0.91	0.80	1.26	16.88
2006	1.36	1.26	2.76	3.14	0.79	0.72	0.26	0.92	1.87	1.02	1.13	0.91	16.14
2007	0.73	1.53	1.11	0.53	0.57	0.80	0.53	0.10	1.74	1.88	0.49	3.35	13.36
2008	1.30	1.24	1.34	0.75	1.01	0.75	0.14	0.83	0.31	1.29	1.50	1.28	11.74
2009	2.15	0.83	1.72	2.55	1.36	2.64	0.28	0.40	1.19	1.18	0.20	1.35	15.85
2010	0.38	0.50	1.90	2.48	2.80	0.96	0.14	1.70	0.09	2.06	2.64	3.04	18.69
2011	0.64	1.07	2.53	4.06	5.14	1.23	0.59	0.52	0.12	1.59	1.62	0.03	19.14
2012	1.79	1.12	0.59	2.30	0.72	T	0.73	0.29	0.55	1.53	1.66	1.38	12.66
2013	1.52	0.68	0.71	1.95	1.26	T	1.16	0.16	1.17	0.74	0.62	1.65	11.62
2014	1.20	1.57	1.11	1.55	1.04	1.20	0.50	1.77	2.51	0.01	0.60	1.40	14.46
2015	0.86	0.31	0.71	2.32	4.19	0.65	1.22	0.89	1.74	0.61	0.41	2.23	16.14
2016	1.94	0.52	2.22	1.39	1.58	0.52	T	0.15	1.88	0.90	1.76	1.98	14.84
2017	1.97	1.69	3.51	3.22	0.61	0.25	0.51	0.07	2.04	0.18	1.17	0.78	16.00
2018	0.82	1.06	2.58	1.91	1.26	0.05	0.19	0.50	T	2.50	1.06	1.28	13.21
2019	1.76	1.26	3.96	3.45	3.78	0.15	0.41	0.49	1.55	0.49	1.17	1.63	20.10
2020	1.78	1.25	1.53	0.26	0.40	1.90	0.26	0.10	0.19	0.28	0.69	0.34	8.98
2021	0.85	1.75	1.55	1.79	0.65	0.10	0.52	2.29	0.17	3.49	0.34	1.84	15.34
2022	0.47	0.27	1.67	0.81	1.68	0.56	0.12	1.13	0.76	0.81	1.90	2.39	12.57
2023	2.71	1.35	2.61	1.69	0.52	0.39	0.06	2.75	0.91	1.97	1.74	0.94	17.64
2024	1.28	3.37	2.08	1.51	1.45	0.31	0.08	1.15	0.42	0.79	1.22	1.12	14.78
2025	0.51	1.36	2.40	0.57	1.26	0.16	0.18	0.76	0.42	5.12	0.61	0.84	14.19
