Year        Jan Feb Mar Apr May Jun     Jul     Aug Sep Oct Nov Dec Total
2006-2007	0.0	T	T	T	8.1	9.9	10.8	13.1	2.5	T	T	0.0	44.4
2007-2008	0.0	0.0	T	0.1	0.8	29.8	17.1	17.4	8.3	T	T	0.0	73.5
2008-2009	0.0	0.0	0.0	0.5	3.0	20.8	10.3	6.3	6.0	1.4	0.0	0.0	48.3
2009-2010	0.0	0.0	0.0	0.5	2.8	17.1	2.3	2.3	5.7	5.5	0.2	T	36.4
2010-2011	0.0	0.0	M	1.8	20.9	11.5	5.9	11.0	9.1	8.2	T	0.0	M
2011-2012	0.0	0.0	0.0	T	5.5	0.1	6.9	7.3	4.0	1.0	0.0	0.0	24.8
2012-2013	0.0	0.0	0.0	0.3	15.2	13.1	23.8	14.7	2.7	0.1	T	0.0	69.9
2013-2014	0.0	0.0	0.0	T	3.5	19.2	10.1	2.2	0.5	T	T	0.0	35.5
2014-2015	0.0	T	0.0	T	0.8	5.7	0.3	T	2.8	5.8	T	T	15.4
2015-2016	0.0	0.0	0.0	0.0	1.4	15.9	10.5	3.8	2.7	T	T	0.0	34.3
2016-2017	0.0	0.0	0.0	0.0	5.7	11.1	23.2	6.7	3.6	1.0	0.1	0.0	51.4
2017-2018	0.0	0.0	0.0	T	T	7.7	9.6	14.3	10.5	1.4	T	0.0	43.5
2018-2019	0.0	0.0	0.0	T	1.7	13.2	6.6	13.9	10.7	0.2	T	0.0	46.3
2019-2020	0.0	0.0	T	T	10.2	2.7	12.0	11.5	7.5	T	0.0	T	43.9
2020-2021	0.0	0.0	0.0	1.0	4.7	1.8	2.4	16.8	1.2	T	0.0	0.0	27.9
2021-2022	0.0	0.0	0.0	T	0.0	21.5	0.9	5.3	9.7	1.4	T	0.0	38.8
2022-2023	0.0	0.0	0.0	T	3.1	22.6	10.1	21.6	15.1	15.0	0.0	0.0	87.5
2023-2024	0.0	0.0	0.0	0.0	1.8	2.4	13.0	4.6	5.7	0.8	T	T	28.3
2024-2025	0.0	0.0	0.0	0.0	1.0	1.2	4.1	5.1	6.7	T	0.0	0.0	18.1
