"TOA5","Snow Weather","CR1000","86158","CR1000.Std.31.03","CPU:SnowCollege.CR1","60318","FifteenMin"
"TIMESTAMP","RECORD","AirTF_Avg","RH_Avg","WindGust","AveWindSp","WindDir","WindDir_SD","BP_inHg","SlrkW","HeatedPrecip_Tot","HeatedRunTot","Rain_Tot","RainRunTot"
"TS","RN","Deg F","%","mph","mph","degrees","Deg","inHg","kW/m^2","inch","inch","inch","inch"
"","","Avg","Avg","Max","WVc","WVc","WVc","Smp","Smp","Tot","Smp","Tot","Smp"
"2026-06-16 11:45:00",246917,83.94094,13.53688,9.86,2.671073,172.2986,88.38294,30.09,0.863,0,0,0,0
"2026-06-16 12:00:00",246918,84.90382,13.23447,9.21,2.772639,249.2363,49.55664,30.09,0.881,0,0,0,0
"2026-06-16 12:15:00",246919,86.23036,12.61305,15.78,6.061849,261.9487,34.94306,30.09,0.892,0,0,0,0
"2026-06-16 12:30:00",246920,86.20509,12.26121,19.73,8.506179,264.6571,22.60094,30.09,0.909,0,0,0,0
"2026-06-16 12:45:00",246921,87.4053,11.93457,19.29,7.453281,289.4606,24.65072,30.09,0.943,0,0,0,0
"2026-06-16 13:00:00",246922,87.61396,12.01321,16.44,7.315438,289.2161,27.67317,30.08,0.934,0,0,0,0
"2026-06-16 13:15:00",246923,87.76311,11.6582,16.44,7.952088,289.6644,26.64598,30.08,0.954,0,0,0,0
"2026-06-16 13:30:00",246924,88.08114,11.18636,17.54,7.605505,278.1314,23.5198,30.07,0.958,0,0,0,0
"2026-06-16 13:45:00",246925,88.27743,10.91738,15.12,5.146572,262.9259,44.70959,30.07,0.947,0,0,0,0
"2026-06-16 14:00:00",246926,89.05367,11.06961,18.19,7.659329,277.5514,29.65943,30.06,0.941,0,0,0,0
"2026-06-16 14:15:00",246927,88.97066,10.51014,17.1,8.353468,263.9197,23.46513,30.05,0.947,0,0,0,0
"2026-06-16 14:30:00",246928,89.63631,10.2617,16.66,6.028493,263.215,38.32368,30.05,0.919,0,0,0,0
"2026-06-16 14:45:00",246929,90.10918,10.26011,18.41,9.226863,286.7231,23.12584,30.05,0.9,0,0,0,0
"2026-06-16 15:00:00",246930,90.55924,10.14374,17.1,8.259942,289.597,26.00609,30.04,0.909,0,0,0,0
"2026-06-16 15:15:00",246931,90.39963,9.559822,13.81,7.131549,273.8729,26.52946,30.04,0.839,0,0,0,0
"2026-06-16 15:30:00",246932,90.21691,9.758762,17.54,8.554641,276.6216,25.09843,30.03,0.889,0,0,0,0
"2026-06-16 15:45:00",246933,90.2252,10.18675,16.66,6.405269,269.0989,34.41322,30.03,0.845,0,0,0,0
"2026-06-16 16:00:00",246934,90.07754,10.45573,17.76,7.784275,250.2797,34.54087,30.03,0.642,0,0,0,0
"2026-06-16 16:15:00",246935,89.43498,10.09777,24.33,12.61521,286.022,19.72698,30.03,0.672,0,0,0,0
"2026-06-16 16:30:00",246936,89.54406,9.942683,19.07,7.014886,307.5059,25.09469,30.02,0.686,0,0,0,0
"2026-06-16 16:45:00",246937,89.90841,9.6365,14.47,4.447817,286.0101,53.66165,30.01,0.707,0,0,0,0
"2026-06-16 17:00:00",246938,90.74875,10.03928,20.82,8.93654,290.3838,29.56504,30.01,0.429,0,0,0,0
"2026-06-16 17:15:00",246939,88.87095,10.59807,20.17,8.649389,290.1095,24.09799,30.01,0.233,0,0,0,0
"2026-06-16 17:30:00",246940,87.08511,10.93829,15.12,6.285682,286.8297,27.04994,30.01,0.188,0,0,0,0
"2026-06-16 17:45:00",246941,86.80215,11.42205,14.03,5.376244,302.2184,20.46871,30.01,0.158,0,0,0,0
"2026-06-16 18:00:00",246942,86.05322,11.55745,10.3,4.367921,254.3082,30.66476,30,0.138,0,0,0,0
"2026-06-16 18:15:00",246943,85.78452,11.64552,12.93,4.174297,260.2756,31.09983,29.99,0.137,0,0,0,0
"2026-06-16 18:30:00",246944,85.63019,12.46317,8.77,3.66965,283.4132,36.56887,29.99,0.129,0,0,0,0
"2026-06-16 18:45:00",246945,84.23505,15.53752,5.918,1.492994,341.4437,28.49366,29.99,0.119,0,0,0,0
"2026-06-16 19:00:00",246946,83.13999,17.0024,4.165,1.356601,331.9831,27.50601,29.99,0.11,0,0,0,0
"2026-06-16 19:15:00",246947,82.76369,16.46075,6.576,2.25995,330.6793,18.82855,29.99,0.108,0,0,0,0
"2026-06-16 19:30:00",246948,82.30018,16.85908,2.411,0.2949453,324.5652,19.86128,29.99,0.093,0,0,0,0
"2026-06-16 19:45:00",246949,82.56957,16.84391,1.534,0.07598937,3.265086,20.55985,29.98,0.072,0,0,0,0
"2026-06-16 20:00:00",246950,81.81983,18.19664,2.411,0.1181245,11.14982,16.83972,29.99,0.054,0,0,0,0
"2026-06-16 20:15:00",246951,80.43433,18.51219,2.192,0.4508204,9.407394,19.18368,29.98,0.081,0,0,0,0
"2026-06-16 20:30:00",246952,79.71801,19.11738,3.507,0.4422961,18.56263,22.15352,29.98,0.06,0,0,0,0
"2026-06-16 20:45:00",246953,78.87862,18.33928,4.384,1.522461,49.03773,18.06129,29.98,0.009,0,0,0,0
"2026-06-16 21:00:00",246954,78.2411,19.41745,3.288,1.188063,83.54431,15.50791,29.98,0.006,0,0,0,0
"2026-06-16 21:15:00",246955,75.9605,20.12136,5.48,2.095064,113.6088,14.22562,29.98,0,0,0,0,0
"2026-06-16 21:30:00",246956,75.71243,17.85559,6.357,4.095138,112.6912,13.3404,29.98,0,0,0,0,0
"2026-06-16 21:45:00",246957,75.15643,17.56617,6.795,3.753184,110.1842,12.69284,29.98,0,0,0,0,0
"2026-06-16 22:00:00",246958,75.93849,15.75744,8.11,4.271719,98.15019,14.60116,29.98,0,0,0,0,0
"2026-06-16 22:15:00",246959,75.03429,15.82869,6.795,2.680817,94.40437,24.08583,29.98,0,0,0,0,0
"2026-06-16 22:30:00",246960,72.70791,16.96122,3.946,2.034178,56.9114,10.11005,29.98,0,0,0,0,0
"2026-06-16 22:45:00",246961,72.45518,16.70126,6.357,2.04708,56.0011,24.89666,29.98,0,0,0,0,0
"2026-06-16 23:00:00",246962,70.9275,18.11717,3.946,1.198779,72.62989,12.73475,29.98,0,0,0,0,0
"2026-06-16 23:15:00",246963,69.45284,21.13771,4.603,1.736302,139.6344,25.4569,29.98,0,0,0,0,0
"2026-06-16 23:30:00",246964,69.58492,20.71869,4.165,1.028047,113.931,12.92822,29.98,0,0,0,0,0
"2026-06-16 23:45:00",246965,68.15542,21.28907,4.165,0.8219997,38.54715,22.78155,29.98,0,0,0,0,0
